train_loss,val_loss,train_f1,val_f1,lr
1.4251397907505547,0.0,0.5451679229736328,0.5426098108291626,0.0001
1.3166601516277854,0.0,0.5784604549407959,0.561025857925415,0.0001
1.2541902149774105,0.0,0.5978568196296692,0.6359653472900391,0.0001
1.1925547444957427,0.0,0.615792989730835,0.643310546875,0.0001
1.1399422653333438,0.0,0.6488863229751587,0.6936285495758057,0.0001
1.0933784022641821,0.0,0.682306706905365,0.707990825176239,0.0001
1.0507876952945958,0.0,0.7172988057136536,0.7159124612808228,0.0001
1.0189713758070351,0.0,0.7429991960525513,0.7651216387748718,0.0001
0.9927262901346345,0.0,0.7619677782058716,0.7387769818305969,0.0001
0.9600708612537019,0.0,0.7830121517181396,0.7899552583694458,5e-05
0.9122506252193816,0.0,0.8122094869613647,0.7967007160186768,5e-05
0.9043180300814896,0.0,0.8202918767929077,0.8098798990249634,5e-05
0.8843144836096928,0.0,0.8342671394348145,0.8409833312034607,5e-05
0.8720858697690269,0.0,0.8427406549453735,0.82533860206604,5e-05
0.8608723746405708,0.0,0.8507003784179688,0.850391685962677,5e-05
0.8453421231887349,0.0,0.8557307720184326,0.8538286089897156,5e-05
0.8337641264743731,0.0,0.8648034334182739,0.8587080836296082,5e-05
0.8219678968305332,0.0,0.8757057189941406,0.8180786967277527,5e-05
0.8155668453238476,0.0,0.8819526433944702,0.8704309463500977,5e-05
0.8024316167466028,0.0,0.8856541514396667,0.8627783060073853,2.5e-05
