train_loss,val_loss,train_f1,val_f1,lr
1.9176034087174545,0.0,0.5052202939987183,0.2829038202762604,0.0001
1.669141933765237,0.0,0.7271100282669067,0.5792612433433533,0.0001
1.5987842821556588,0.0,0.7811046838760376,0.7151785492897034,0.0001
1.554121085483095,0.0,0.8170226216316223,0.6684962511062622,0.0001
1.535645551723801,0.0,0.8319160342216492,0.8168280124664307,0.0001
1.5045683941456491,0.0,0.8525527715682983,0.7797454595565796,0.0001
1.4922780840907,0.0,0.8608562350273132,0.8489258885383606,0.0001
1.479945984769195,0.0,0.8676495552062988,0.8112136125564575,0.0001
1.4787733817059607,0.0,0.8717649579048157,0.8529661893844604,0.0001
1.4581068717710486,0.0,0.8792986869812012,0.925622820854187,5e-05
1.4385974275233817,0.0,0.8942387104034424,0.9279024004936218,5e-05
1.4441451872922735,0.0,0.8889029026031494,0.9540815949440002,5e-05
1.4367213775691505,0.0,0.8927191495895386,0.9234405159950256,5e-05
1.4342467145870696,0.0,0.893252432346344,0.9629782438278198,5e-05
1.4125150958719734,0.0,0.9046065807342529,0.9548646211624146,5e-05
1.4181689378257747,0.0,0.8984676599502563,0.94869065284729,5e-05
1.4247186076518328,0.0,0.896043062210083,0.934295654296875,5e-05
1.4179184891675647,0.0,0.8942018747329712,0.9555805325508118,5e-05
1.4253876325876818,0.0,0.8949602842330933,0.957563042640686,5e-05
1.3942892426620632,0.0,0.9030739068984985,0.9636619091033936,2.5e-05
1.4101737714127491,0.0,0.90152907371521,0.9708748459815979,2.5e-05
1.3960734485761526,0.0,0.9026994109153748,0.9709581136703491,2.5e-05
1.3830146835584116,0.0,0.903651773929596,0.968246579170227,2.5e-05
1.4061527994868412,0.0,0.9012480974197388,0.9728211164474487,2.5e-05
1.3840452219174164,0.0,0.9054180383682251,0.9757378101348877,2.5e-05
1.387416956626578,0.0,0.9042237401008606,0.9691333174705505,2.5e-05
1.3901512476549542,0.0,0.9021355509757996,0.9733121395111084,2.5e-05
1.3881767983772115,0.0,0.9004595279693604,0.9650067090988159,2.5e-05
1.388284373815327,0.0,0.9018715620040894,0.9733167886734009,2.5e-05
1.3866598006994282,0.0,0.9022849798202515,0.9694870710372925,1.25e-05
